x,split,baseline_residual,corrected_residual
0.9912390488110138,train,0.44921342189570623,-0.06666032064792127
1.0062578222778473,train,0.3435404185648734,-0.17169641578550632
1.0362953692115144,train,0.44643659876724895,-0.06777676491054319
1.0513141426783479,train,0.6601394754484167,0.14631279002102593
1.0663329161451816,train,0.5135590790677114,3.7210349038030444e-05
1.0963704630788484,train,0.6163518918049253,0.10320392577918858
1.1113892365456821,train,0.5725392628573269,0.05946759121243872
1.1264080100125156,train,0.6295249456217826,0.11646215510907254
1.1564455569461827,train,0.45822716158736787,-0.05499533347180563
1.1714643304130163,train,0.7493941458767113,0.2360178611734578
1.1864831038798498,train,0.7401708221434373,0.22660293978947887
1.216520650813517,train,0.32842553749340775,-0.18559866011472081
1.2315394242803503,train,0.29057741621431843,-0.223688913237869
1.246558197747184,train,0.43307624103670816,-0.08142486879700694
1.2765957446808511,train,0.5276267908774162,0.012733883331071283
1.2916145181476846,train,0.41820941958988733,-0.09681032984969029
1.306633291614518,train,0.3381049915920227,-0.17697394043088854
1.3366708385481851,train,0.4254554451020738,-0.08946882256550781
1.3516896120150188,train,0.3747598996136001,-0.13991344921786375
1.3667083854818523,train,0.20934169037432016,-0.3049390142976178
1.3967459324155194,train,0.3700042666231811,-0.1429837174580424
1.4117647058823528,train,0.41073844966919326,-0.10130673552544467
1.4267834793491865,train,0.2890578043138996,-0.22181752538812427
1.4568210262828536,train,0.5420468954683515,0.034283630339581705
1.471839799749687,train,0.04143011875365321,-0.4643443797669895
1.4868585732165207,train,0.6473209013445347,0.14385519368045863
1.5168961201501876,train,0.547523067457349,0.04973074324734794
1.5319148936170213,train,0.5752706893724873,0.08089099853028081
1.5469336670838547,train,0.5959643307721643,0.10541320330057546
1.5769712140175218,train,0.7288620107799257,0.2473107265768042
1.5919899874843555,train,0.32551357839677886,-0.15081970365217678
1.607008760951189,train,0.38653157315387743,-0.08407452775138813
1.637046307884856,train,0.12777845338039384,-0.3297576931283146
1.6520650813516895,train,0.6784272478422606,0.22827616422590014
1.6670838548185232,train,0.3014940720582735,-0.14067839425311268
1.6971214017521903,train,0.8353943341412124,0.4110344972254101
1.7121401752190237,train,0.09919247372838935,-0.3152987388981736
1.7271589486858572,train,0.047179559287927386,-0.3567804489822324
1.7571964956195243,train,0.16201986357200182,-0.21883501269247407
1.772215269086358,train,0.15969376827464377,-0.2085634072725906
1.7872340425531914,train,0.28102187110568533,-0.07392765665716983
1.8172715894868585,train,0.24212229825897946,-0.08405280127608927
1.832290362953692,train,0.3685845561757728,0.0578863229289599
1.8473091364205256,train,0.0016703194932832233,-0.2928210738361754
1.8773466833541927,train,-0.11453108252909772,-0.3744202738526323
1.8923654568210262,train,0.21525408891133857,-0.026245647287952867
1.9073842302878599,train,0.48753716838184014,0.26514494899148744
1.9374217772215268,train,0.3030506061601592,0.12099189616777961
1.9524405506883604,train,-0.08681445027663681,-0.2476706223321976
1.9674593241551939,train,-0.16544200957628608,-0.30442453157434146
1.997496871088861,train,-0.06106478626672773,-0.15435856748856924
2.0125156445556946,train,0.3000121566295051,0.23049182864919215
2.0275344180225283,train,0.03954424769782827,-0.005614765206499062
2.057571964956195,train,0.4678233743748983,0.47304262883356163
2.072590738423029,train,-0.056781228876985335,-0.025604444051180675
